aX,aY,aZ,gX,gY,gZ
0.965,-0.015,-0.228,2.319,-1.160,6.287
0.963,0.005,-0.224,2.075,-1.831,5.981
0.962,0.006,-0.223,2.197,-2.319,3.845
0.981,-0.025,-0.237,3.235,-1.587,0.854
0.976,-0.056,-0.250,5.188,-0.305,-0.793
0.968,-0.060,-0.261,7.263,0.061,-0.916
0.963,-0.056,-0.275,8.057,0.305,-0.488
0.953,-0.048,-0.278,7.324,0.610,0.427
0.947,-0.027,-0.279,4.272,0.122,1.709
0.955,-0.020,-0.282,0.549,-0.183,2.502
0.960,-0.035,-0.289,-1.404,0.000,2.502
0.957,-0.050,-0.297,-0.916,-0.183,2.319
0.958,-0.052,-0.293,0.854,-1.526,2.014
0.957,-0.041,-0.283,2.930,-3.296,2.319
0.953,-0.028,-0.263,5.554,-4.456,2.136
0.960,-0.018,-0.230,8.301,-5.188,1.221
0.954,-0.014,-0.202,9.033,-4.761,0.427
0.953,-0.017,-0.184,7.690,-3.906,-0.061
0.954,-0.019,-0.180,5.432,-2.502,-0.061
0.959,-0.029,-0.196,3.174,-0.549,-0.183
0.972,-0.040,-0.222,2.563,0.916,0.000
0.972,-0.049,-0.247,2.930,1.343,0.549
0.970,-0.045,-0.264,3.113,1.404,1.404
0.964,-0.032,-0.275,3.418,0.977,1.770
0.955,-0.013,-0.285,3.662,0.183,1.282

2.191,0.859,0.110,12.329,-90.759,-12.207
2.218,1.042,0.215,9.216,-87.952,-13.306
2.322,1.267,0.283,2.991,-83.801,-15.686
2.357,1.447,0.374,-6.409,-78.857,-24.658
2.492,1.556,0.422,-16.113,-74.707,-37.903
2.523,1.580,0.467,-19.470,-65.918,-52.185
2.445,1.571,0.527,-19.165,-55.420,-65.002
2.370,1.472,0.604,-22.705,-45.532,-80.200
2.346,1.326,0.705,-32.837,-32.898,-90.454
2.227,1.247,0.764,-49.438,-16.357,-89.294
2.113,1.243,0.784,-71.106,0.244,-83.618
2.005,1.283,0.810,-91.614,16.724,-78.247
1.857,1.297,0.823,-109.070,33.630,-77.148
