aX,aY,aZ,gX,gY,gZ
0.636,0.606,0.299,0.061,1.587,3.174
0.629,0.604,0.306,1.038,1.526,3.174
0.623,0.602,0.306,2.563,1.465,2.625
0.626,0.596,0.315,3.235,1.587,2.014
0.625,0.596,0.320,3.662,1.892,2.319
0.624,0.601,0.320,4.517,1.648,2.380
0.627,0.613,0.327,4.639,1.343,2.197

-0.012,1.847,1.447,132.385,-131.470,257.202
0.083,2.089,1.602,115.540,-122.131,253.784
0.158,2.229,1.680,111.511,-102.844,243.164
0.209,2.348,1.661,118.164,-78.796,225.586
0.255,2.434,1.611,122.070,-55.786,205.811
0.293,2.568,1.625,112.488,-41.077,192.444
0.302,2.730,1.626,85.938,-34.363,185.242
0.440,2.798,1.730,56.335,-23.193,176.941
0.427,2.969,1.619,32.104,-23.437,161.987
0.367,3.040,1.523,13.733,-6.897,145.020
0.471,2.990,1.483,4.456,18.799,117.920
0.484,2.951,1.407,-3.540,28.198,91.980
0.367,2.884,1.239,-11.108,35.156,69.275
0.430,2.787,1.216,-15.991,47.485,45.349
0.322,2.646,1.092,-27.039,50.598,25.146
0.374,2.504,1.073,-36.194,53.650,3.479
0.299,2.345,1.009,-45.715,55.359,-10.681
0.258,2.227,0.948,-57.190,55.603,-25.391
0.242,2.040,0.888,-66.040,60.547,-41.992
0.232,1.839,0.841,-72.144,69.336,-56.213
0.221,1.697,0.796,-74.280,77.393,-68.176
0.189,1.576,0.727,-75.745,81.604,-78.491
0.162,1.439,0.652,-80.322,83.435,-86.243
0.140,1.304,0.588,-87.891,83.069,-91.064
0.125,1.222,0.550,-96.985,78.247,-92.590
0.089,1.158,0.503,-106.445,70.923,-92.224
0.026,1.116,0.472,-113.647,64.819,-93.628
-0.010,1.047,0.465,-117.615,57.129,-96.008
-0.031,0.983,0.467,-115.967,50.049,-99.854
-0.032,0.880,0.483,-105.713,54.871,-107.422
-0.079,0.774,0.468,-90.820,59.937,-114.990
-0.102,0.707,0.427,-76.721,66.284,-121.277
-0.115,0.612,0.386,-65.918,72.571,-125.732
-0.137,0.489,0.323,-61.707,73.792,-126.038
-0.165,0.372,0.261,-62.439,71.411,-121.399
-0.186,0.281,0.197,-64.941,65.918,-114.441
-0.216,0.180,0.134,-66.467,58.167,-106.323
-0.260,0.106,0.067,-66.040,47.180,-98.511
-0.280,0.052,0.032,-61.829,34.241,-93.201
-0.311,0.018,0.046,-55.298,19.531,-90.698
-0.257,-0.048,0.103,-44.678,7.690,-85.388
-0.210,-0.079,0.175,-30.334,3.967,-78.918
-0.203,-0.067,0.177,-17.273,2.502,-70.923
-0.195,-0.039,0.153,-8.057,4.333,-61.523
-0.243,-0.007,0.097,-5.432,3.845,-51.025
-0.308,0.060,0.044,-7.874,-1.343,-38.879
-0.294,0.113,0.041,-10.437,-9.888,-28.992
-0.273,0.158,0.084,-14.465,-22.949,-19.043
-0.317,0.236,0.053,-22.644,-41.016,-7.141
-0.299,0.276,0.076,-29.541,-47.485,2.014
-0.277,0.273,0.075,-30.945,-52.063,6.592
-0.298,0.287,0.057,-25.391,-59.326,8.545
-0.302,0.298,0.071,-13.367,-62.927,8.423
-0.309,0.302,0.064,-0.916,-68.542,5.859
-0.308,0.276,0.042,8.972,-76.172,3.235
-0.302,0.267,0.038,17.151,-83.618,2.930
-0.281,0.273,0.046,21.851,-93.567,3.906
