aX,aY,aZ,gX,gY,gZ
-1.971,-0.030,0.603,37.476,-5.066,-65.063
-2.006,-0.099,0.790,43.518,-23.376,-73.059
-2.035,-0.104,0.912,26.062,-36.743,-69.519
-1.990,-0.097,0.981,9.216,-44.006,-69.031
-1.791,-0.199,1.065,0.427,-49.683,-74.341
-1.458,-0.319,1.157,-3.418,-57.800,-75.623
-1.162,-0.267,1.269,7.996,-56.152,-63.049
-1.035,-0.170,1.302,41.992,-42.847,-49.805
-0.914,-0.075,1.348,83.923,-22.034,-45.166
-0.849,-0.047,1.315,106.750,-2.686,-43.213
-0.743,-0.107,1.205,102.539,10.559,-38.269
-0.635,-0.102,1.068,77.881,16.296,-24.963
-0.566,-0.088,0.936,50.415,15.686,-9.888
-0.501,-0.047,0.869,32.898,14.221,0.366
-0.496,-0.006,0.855,24.231,9.033,6.836
-0.467,0.015,0.896,16.846,2.075,10.925
-0.419,0.093,0.947,6.897,-5.005,14.465
-0.377,0.185,0.995,-2.625,-10.071,15.320
-0.347,0.224,1.030,-8.057,-12.451,13.611
-0.324,0.194,1.061,-11.414,-12.390,11.108
-0.299,0.157,1.097,-17.700,-11.902,11.353
-0.279,0.151,1.118,-25.696,-10.864,13.977
-0.266,0.150,1.123,-29.236,-7.324,17.029
-0.261,0.183,1.111,-26.367,-1.648,19.531
-0.269,0.223,1.087,-18.738,2.808,19.531
-0.266,0.209,1.067,-10.681,6.409,17.639
-0.255,0.190,1.053,-5.859,8.362,16.235
-0.249,0.174,1.041,-3.052,9.216,16.235
-0.226,0.164,1.018,0.305,9.460,15.930
-0.204,0.171,0.981,5.981,10.437,15.686
-0.203,0.172,0.939,14.465,12.817,15.869
-0.199,0.176,0.922,21.484,13.611,15.930
-0.179,0.218,0.927,23.865,12.390,15.198
-0.173,0.263,0.942,21.606,9.827,12.512
-0.150,0.270,0.971,18.005,6.897,6.592
-0.122,0.255,0.973,14.465,5.737,0.549
-0.118,0.197,0.949,12.817,7.141,-3.113
-0.114,0.160,0.913,11.475,8.118,-4.395
-0.123,0.142,0.894,10.010,8.118,-4.150
-0.117,0.117,0.901,9.399,6.775,-4.700
-0.101,0.093,0.902,7.629,5.371,-5.310
-0.087,0.063,0.901,4.517,3.906,-5.676
-0.070,0.032,0.906,2.319,2.258,-5.188
-0.062,0.021,0.913,1.282,1.465,-3.967
-0.071,0.034,0.921,2.441,1.892,-2.563
-0.078,0.068,0.923,5.371,2.930,-0.854
-0.087,0.077,0.935,9.888,4.028,-0.244
-0.084,0.077,0.949,13.123,4.456,-0.061
-0.099,0.075,0.958,12.573,4.333,0.732
-0.101,0.073,0.971,10.010,3.967,1.587
-0.104,0.089,0.977,7.568,3.479,1.404
-0.100,0.107,0.973,6.836,3.662,-0.305
-0.099,0.078,0.953,6.897,4.883,-2.502
-0.101,0.044,0.919,5.859,4.761,-3.113
-0.103,0.014,0.884,4.395,3.601,-2.808
-0.089,-0.002,0.878,3.662,2.197,-1.404
-0.082,-0.004,0.895,3.662,-0.305,-0.244
