aX,aY,aZ,gX,gY,gZ
-0.220,0.121,0.965,0.977,0.610,2.258
-0.232,0.104,0.956,1.953,0.854,0.732
-0.240,0.083,0.946,2.808,1.038,0.671
-0.238,0.069,0.938,2.136,0.427,2.869
-0.228,0.073,0.938,1.587,-0.977,5.310
-0.214,0.094,0.936,3.357,-1.831,6.409
-0.213,0.110,0.933,6.836,-1.648,6.348
-0.231,0.102,0.936,10.803,-1.465,6.287
-0.229,0.105,0.939,12.085,-1.831,6.958
-0.234,0.110,0.947,10.315,-2.563,7.935
-0.231,0.115,0.965,8.240,-3.113,7.996
-0.217,0.124,0.981,5.737,-3.296,7.080
-0.209,0.131,0.994,3.418,-2.563,6.348
-0.204,0.138,0.992,2.075,-1.038,5.493
-0.208,0.136,0.973,2.075,0.977,4.761
-0.221,0.139,0.953,3.906,2.563,4.272
-0.227,0.143,0.941,5.981,3.601,3.357
-0.233,0.141,0.940,7.263,3.601,2.380
-0.235,0.140,0.940,7.385,2.930,1.282
-0.228,0.135,0.957,6.042,2.075,0.244
-0.212,0.153,0.949,3.784,1.587,0.183
-0.221,0.150,0.944,2.258,1.404,0.366
-0.221,0.138,0.947,1.770,1.648,-0.488
-0.212,0.128,0.947,0.549,1.465,-1.770
-0.223,0.106,0.951,0.000,1.404,-1.953
-0.229,0.090,0.947,-0.061,1.160,-1.221
-0.224,0.081,0.946,0.366,0.610,0.732
-0.233,0.078,0.958,1.099,0.122,2.686
-0.227,0.084,0.963,2.258,-0.427,3.174
-0.209,0.101,0.964,3.723,-0.671,2.930
-0.211,0.112,0.959,5.127,0.000,2.930
-0.220,0.106,0.952,5.554,0.671,2.441
-0.223,0.103,0.952,4.700,0.793,2.319
-0.225,0.100,0.958,3.357,0.427,2.686
-0.223,0.097,0.958,2.441,0.305,2.563
-0.217,0.097,0.958,2.930,0.305,1.953
-0.214,0.095,0.954,4.089,0.549,1.343
-0.218,0.087,0.946,5.493,0.977,0.732
-0.226,0.084,0.936,6.104,1.587,0.366
-0.224,0.095,0.934,6.348,2.075,1.160
-0.223,0.100,0.932,6.714,0.854,1.892
-0.216,0.098,0.940,6.836,-0.244,1.526
-0.213,0.090,0.948,4.761,-0.427,1.160
-0.211,0.075,0.950,1.953,-0.122,2.014
-0.218,0.065,0.937,0.244,-0.549,3.174
-0.223,0.060,0.929,0.244,-0.793,4.333
-0.215,0.069,0.923,2.380,-1.343,4.639
-0.217,0.080,0.926,5.798,-1.770,4.211
-0.220,0.087,0.939,7.324,-2.319,3.662
-0.211,0.096,0.958,6.836,-2.625,3.540
-0.205,0.099,0.968,4.944,-2.075,3.723
-0.203,0.098,0.970,3.113,-0.854,3.784
-0.199,0.093,0.964,3.296,0.366,3.357
-0.200,0.100,0.948,5.615,1.587,3.174
-0.214,0.106,0.929,7.751,2.502,3.296
-0.226,0.106,0.923,7.629,2.380,3.296

-2.291,0.786,0.400,142.212,107.422,80.505
-2.511,0.751,0.564,169.006,88.318,22.522
-2.612,0.544,0.889,126.709,54.382,-33.203
-2.417,0.243,1.227,14.404,1.953,-82.458
-1.769,-0.135,1.656,-117.737,-47.791,-119.202
-0.945,-0.493,1.781,-205.933,-89.905,-136.169
-0.319,-0.735,1.678,-208.984,-102.661,-136.169
-0.065,-0.843,1.529,-134.766,-81.726,-135.437
-0.019,-0.990,1.491,-35.889,-46.326,-132.935
-0.045,-1.091,1.465,29.419,-11.230,-114.441
-0.119,-1.091,1.238,50.781,3.723,-78.735
-0.142,-0.917,1.096,44.434,13.794,-31.189
-0.212,-0.610,0.992,26.184,11.658,17.944
-0.315,-0.182,0.873,10.193,3.235,52.063
-0.379,0.182,0.835,5.798,1.404,68.176
-0.390,0.480,0.852,9.094,2.258,68.298
-0.370,0.707,0.838,13.489,-2.502,56.152
-0.327,0.818,0.836,16.174,-7.446,39.063
-0.276,0.853,0.859,15.076,-9.521,23.315
-0.232,0.833,0.870,8.911,-11.475,8.850
-0.216,0.740,0.853,-1.831,-14.221,-4.028
-0.196,0.594,0.849,-15.442,-15.076,-15.686
-0.181,0.418,0.880,-28.381,-15.991,-24.475
-0.201,0.279,0.873,-37.537,-21.118,-29.480
-0.163,0.164,0.945,-40.894,-20.142,-29.541
-0.177,0.062,0.997,-39.001,-23.254,-28.198
-0.158,0.017,1.056,-32.715,-27.344,-26.855
-0.123,-0.014,1.124,-24.048,-27.771,-24.048
-0.106,-0.029,1.173,-14.404,-26.855,-19.775
-0.086,-0.037,1.210,-3.052,-21.790,-14.954
-0.063,-0.032,1.215,9.521,-12.817,-10.193
-0.057,-0.021,1.193,20.020,-3.052,-5.493
-0.063,0.000,1.159,26.672,5.798,-1.343
-0.082,0.038,1.107,30.579,12.390,2.747
-0.093,0.073,1.036,35.339,15.930,4.272
-0.104,0.081,0.985,42.175,17.456,2.258
-0.110,0.072,0.955,45.837,17.822,-0.610
-0.104,0.062,0.927,42.847,16.296,-2.258
-0.087,0.062,0.911,33.630,13.062,-2.441
-0.086,0.068,0.912,21.118,9.521,-1.526
-0.082,0.081,0.918,6.958,5.981,-1.831
-0.085,0.073,0.926,-4.822,2.075,-2.869
-0.094,0.057,0.937,-13.245,-1.526,-3.113
-0.098,0.036,0.947,-17.395,-4.883,-3.235
-0.107,0.011,0.975,-17.212,-7.751,-3.113
-0.091,0.004,1.001,-15.381,-9.521,-2.747
-0.070,0.008,1.010,-12.695,-9.399,-2.014
-0.060,0.009,1.013,-8.240,-7.751,-1.282
-0.052,0.003,1.020,-3.052,-5.066,-1.099
-0.051,0.013,1.022,-0.122,-1.892,-0.061
-0.071,0.024,1.011,1.648,0.977,1.282
-0.069,0.039,0.988,4.333,3.296,1.160
-0.083,0.039,0.958,7.507,5.188,0.549
-0.087,0.036,0.937,9.033,6.653,0.977
-0.098,0.024,0.920,8.057,6.714,2.808
-0.100,0.022,0.912,6.470,4.944,4.822
-0.089,0.043,0.908,5.554,2.869,5.798
-0.087,0.071,0.910,5.188,0.854,5.188
-0.087,0.079,0.922,4.456,0.061,4.761
-0.091,0.081,0.935,1.099,-0.488,5.005
-0.096,0.094,0.944,-3.479,-1.038,5.432
-0.107,0.096,0.949,-6.042,-1.892,5.127
-0.108,0.081,0.958,-5.981,-2.319,3.906
-0.093,0.078,0.963,-5.432,-2.014,3.723
-0.100,0.076,0.963,-4.089,-1.587,4.395
-0.093,0.085,0.952,-1.526,-1.160,4.089
-0.099,0.081,0.949,1.465,-0.244,3.479
-0.109,0.077,0.946,3.967,0.427,3.357
-0.110,0.071,0.937,4.700,0.305,3.845
-0.111,0.074,0.932,3.967,-0.122,5.066
-0.114,0.096,0.933,3.357,-0.977,5.310
-0.108,0.103,0.946,3.357,-1.770,4.456
-0.102,0.105,0.958,3.235,-1.404,2.930
-0.087,0.112,0.951,2.625,-1.099,2.319
-0.102,0.099,0.956,1.282,-1.038,2.991
-0.106,0.098,0.959,-0.610,-1.343,3.357
-0.102,0.095,0.972,-2.319,-1.587,3.601
-0.106,0.093,0.973,-4.456,-1.282,4.028
-0.107,0.096,0.971,-4.700,-0.854,4.333
-0.111,0.097,0.963,-3.418,-0.488,4.089
-0.114,0.112,0.950,-0.671,-0.061,4.028
-0.118,0.130,0.943,3.296,-0.305,3.174
-0.112,0.145,0.942,6.287,-0.732,1.343
-0.104,0.148,0.949,6.775,-0.732,0.000
-0.106,0.149,0.953,4.517,-0.977,-0.549
-0.113,0.136,0.954,1.099,-1.404,-1.099
-0.115,0.120,0.953,-1.709,-1.953,-1.770
-0.118,0.103,0.958,-2.808,-2.625,-2.136
-0.115,0.095,0.968,-3.235,-2.869,-2.319
-0.119,0.082,0.987,-4.456,-2.991,-2.136
-0.101,0.091,0.993,-5.676,-2.869,-1.648
-0.110,0.086,1.000,-6.592,-2.075,-0.488
-0.118,0.081,1.003,-6.042,-1.343,-0.183
-0.125,0.076,1.007,-4.028,-0.854,-0.061
-0.124,0.089,0.998,-1.404,-0.305,0.122
-0.140,0.088,1.001,1.709,0.488,0.732
-0.143,0.094,0.999,3.479,0.732,0.793
-0.138,0.087,0.999,4.272,0.244,0.305
-0.142,0.081,1.001,4.639,0.488,0.488
-0.158,0.085,0.993,3.723,0.366,0.977
-0.172,0.073,0.999,1.587,-0.061,1.160
-0.186,0.045,1.010,-2.075,-1.099,1.587
-0.189,0.016,1.025,-8.240,-2.747,2.930
-0.193,-0.004,1.042,-16.602,-2.808,6.287
-0.193,-0.020,1.045,-24.536,-2.502,10.376
-0.188,-0.015,1.037,-29.358,-2.014,13.611
-0.198,0.016,1.019,-30.396,-1.221,15.747
-0.242,0.050,1.018,-28.137,0.854,16.785
-0.274,0.092,1.024,-23.560,0.122,14.893
-0.313,0.135,0.999,-18.494,-2.747,9.521
-0.335,0.120,0.999,-10.742,-3.357,4.883
-0.323,0.103,1.005,-3.479,-2.747,3.296
-0.299,0.128,0.983,0.793,-2.991,5.066
-0.289,0.142,1.010,5.066,-1.221,7.690
-0.257,0.166,1.072,6.409,6.470,8.606
-0.250,0.206,1.080,1.648,17.029,9.583
-0.271,0.227,1.068,-3.418,27.527,10.193
-0.321,0.207,1.048,-7.385,38.147,10.437
-0.353,0.203,0.995,-11.047,46.082,11.658

-1.954,0.665,0.556,48.706,-11.475,36.011
-2.157,0.729,0.793,19.226,-47.729,7.874
-2.170,0.656,1.158,-7.629,-84.900,-49.622
-1.880,0.443,1.538,-49.927,-113.525,-113.647
-1.448,-0.000,1.917,-100.342,-130.371,-161.255
-0.941,-0.406,2.074,-141.052,-130.920,-173.035
-0.511,-0.678,2.016,-146.423,-110.718,-152.222
-0.255,-0.846,1.859,-95.581,-75.928,-124.573
-0.202,-0.991,1.577,-2.136,-35.645,-104.675
-0.153,-1.083,1.396,95.642,11.780,-83.496
-0.219,-1.051,1.157,161.255,44.739,-52.246
-0.292,-0.845,0.905,182.190,55.725,-18.188
-0.355,-0.571,0.726,165.222,53.101,16.479
-0.359,-0.237,0.677,122.009,40.283,48.218
-0.354,0.081,0.714,66.711,19.226,69.153
-0.315,0.363,0.777,15.625,-0.793,76.721
-0.264,0.530,0.857,-20.630,-12.634,72.632
-0.214,0.610,0.928,-43.091,-17.761,63.965
-0.176,0.667,0.973,-52.185,-18.127,54.504
-0.160,0.723,1.003,-49.500,-16.785,44.922
-0.121,0.728,1.032,-38.391,-14.893,32.043
-0.068,0.670,1.024,-28.015,-11.230,16.907
-0.058,0.578,0.997,-24.414,-6.409,4.517
-0.079,0.468,0.969,-28.259,-2.014,-2.991
-0.106,0.362,0.929,-36.011,-0.854,-7.446
-0.132,0.252,0.891,-43.030,-3.113,-10.620
-0.131,0.145,0.898,-45.044,-8.423,-10.986
-0.126,0.082,0.937,-41.565,-16.235,-9.094
-0.120,0.046,0.996,-33.081,-22.949,-6.775
-0.099,0.040,1.078,-21.667,-26.062,-5.188
-0.064,0.049,1.129,-9.399,-25.208,-2.991
-0.044,0.103,1.150,3.235,-22.217,-1.648
-0.020,0.134,1.139,17.395,-14.526,-1.892
-0.025,0.141,1.115,29.358,-4.517,-3.235
-0.041,0.125,1.069,35.767,3.052,-4.395
-0.067,0.096,1.019,35.522,8.606,-3.784
-0.078,0.087,0.951,32.227,10.376,-3.235
-0.064,0.076,0.888,30.212,10.193,-3.296
-0.070,0.051,0.849,30.640,8.179,-3.662
-0.072,0.045,0.833,30.029,4.639,-5.432
-0.074,0.024,0.852,25.146,0.549,-7.751
-0.065,0.012,0.892,14.709,-3.357,-8.972
-0.068,-0.008,0.934,0.000,-6.470,-7.751
-0.062,-0.016,0.972,-14.587,-8.301,-5.981
-0.058,-0.023,0.995,-25.269,-8.362,-4.761
-0.055,-0.027,1.009,-30.579,-7.263,-4.211
-0.042,-0.026,1.021,-30.273,-5.798,-4.517
-0.041,-0.022,1.037,-24.963,-3.357,-4.639
-0.055,-0.008,1.043,-17.883,-0.122,-4.211
-0.066,-0.002,1.036,-10.681,2.441,-3.601
-0.076,-0.006,1.013,-5.432,4.639,-3.113
