aX,aY,aZ,gX,gY,gZ
0.726,0.324,-0.765,17.029,-41.382,0.305
0.717,0.298,-0.661,20.447,-43.762,-1.038
0.737,0.301,-0.583,18.677,-42.542,-0.854
0.743,0.304,-0.521,13.550,-41.260,-0.549
0.743,0.315,-0.490,7.141,-39.368,-0.732
0.757,0.336,-0.484,0.732,-35.461,-1.038
0.774,0.344,-0.503,-2.136,-32.349,-1.709
0.779,0.343,-0.547,-2.808,-29.785,-2.197
0.775,0.336,-0.595,-2.563,-28.442,-2.930
0.787,0.301,-0.634,-2.258,-28.320,-4.883
0.800,0.248,-0.669,-3.784,-29.114,-7.202
0.826,0.223,-0.677,-7.446,-30.823,-7.019
0.825,0.221,-0.657,-11.658,-35.522,-5.005
0.802,0.255,-0.644,-15.869,-38.818,-3.357
0.811,0.282,-0.646,-16.846,-39.978,-2.991
0.830,0.267,-0.637,-15.137,-44.373,-4.150
0.830,0.238,-0.612,-14.709,-49.805,-7.141
0.821,0.212,-0.568,-15.259,-54.749,-9.277
0.794,0.197,-0.528,-16.663,-56.152,-9.827
0.794,0.181,-0.516,-17.883,-52.490,-9.094
0.819,0.184,-0.527,-20.325,-46.997,-7.446
0.839,0.192,-0.533,-23.376,-44.922,-5.249
0.844,0.202,-0.544,-26.855,-44.922,-4.028
0.836,0.244,-0.545,-29.419,-45.837,-3.723
0.829,0.267,-0.542,-28.809,-48.035,-4.517
0.825,0.270,-0.536,-25.635,-48.950,-5.920
0.823,0.256,-0.532,-22.400,-49.011,-7.080
0.825,0.225,-0.531,-21.179,-48.218,-8.606
0.828,0.196,-0.540,-22.400,-46.753,-9.521
0.835,0.196,-0.564,-25.940,-45.776,-8.850
0.847,0.222,-0.578,-29.541,-45.471,-7.812
0.864,0.247,-0.566,-29.297,-47.241,-6.897
0.861,0.259,-0.552,-26.184,-49.377,-6.897
0.860,0.262,-0.549,-20.752,-51.025,-7.446
0.866,0.243,-0.542,-13.794,-53.284,-8.911
0.868,0.214,-0.524,-7.935,-55.908,-9.644
0.866,0.181,-0.502,-4.761,-58.411,-10.193
0.863,0.153,-0.480,-5.676,-59.631,-10.498
0.864,0.126,-0.468,-9.827,-59.326,-10.376
0.867,0.128,-0.471,-15.076,-58.228,-9.216
0.880,0.165,-0.482,-18.982,-58.350,-7.263
0.885,0.209,-0.472,-18.311,-60.120,-6.104
0.884,0.237,-0.457,-13.000,-62.927,-6.409
0.885,0.232,-0.432,-6.470,-65.674,-8.667
0.886,0.214,-0.407,-0.854,-68.604,-10.803
0.888,0.183,-0.370,2.380,-71.106,-12.268
0.884,0.151,-0.341,1.648,-72.510,-13.123
0.885,0.131,-0.332,-2.991,-71.838,-13.794
0.887,0.121,-0.335,-9.033,-70.374,-13.611
0.887,0.135,-0.353,-13.855,-69.458,-12.146
0.892,0.159,-0.374,-15.869,-68.604,-10.376
0.906,0.187,-0.383,-14.282,-70.374,-9.827
0.917,0.202,-0.367,-10.193,-75.317,-10.864
0.916,0.202,-0.336,-5.859,-80.933,-13.062
0.905,0.200,-0.297,-1.404,-86.426,-14.954
0.892,0.172,-0.236,2.380,-90.149,-16.907
0.883,0.130,-0.185,3.723,-90.881,-18.433
0.882,0.082,-0.139,1.831,-88.623,-18.555
0.885,0.056,-0.122,-4.272,-84.106,-16.968
0.890,0.057,-0.138,-12.207,-80.200,-14.954
0.902,0.094,-0.173,-20.142,-78.186,-13.184

-0.268,0.012,2.409,74.585,71.167,-21.362
-0.335,-0.090,2.555,84.045,87.280,-18.066
-0.403,-0.156,2.664,89.783,109.192,-11.597
-0.480,-0.226,2.733,96.252,136.719,-3.479
-0.569,-0.288,2.743,106.018,166.992,7.751
-0.639,-0.346,2.724,113.770,199.890,22.095
-0.716,-0.405,2.645,115.723,231.567,36.682
-0.795,-0.436,2.533,109.924,262.085,50.415
-0.904,-0.473,2.350,99.548,290.771,63.904
-0.979,-0.474,2.142,84.656,318.237,76.111
